name;gruppe;kategorie;kurzname;blz;bic;plz;ort
Volks- und Raiffeisenbank;Volksbank/Raiffeisenbank;;VB u Raiffbk;13061078;GENODEF1HWI;23952;Wismar
Volks- und Raiffeisenbank Muldental;Volksbank/Raiffeisenbank;;VR-Bank Muldental Grimma;86095484;GENODEF1GMV;04668;Grimma
Volks- und Raiffeisenbank Prignitz;Volksbank/Raiffeisenbank;;Volks- u Raiffbk Prignitz;16060122;GENODEF1PER;19348;Perleberg
Volks- und Raiffeisenbank Saale-Unstrut;Volksbank/Raiffeisenbank;;Volks-Raiffbk Saale-Unstrut;80063648;GENODEF1NMB;06207;Merseburg
Volksbank;Volksbank/Raiffeisenbank;;Volksbank Oldendorf;20069815;GENODEF1815;21724;Oldendorf
Volksbank;Volksbank/Raiffeisenbank;;Volksbank;25193331;GENODEF1PAT;30982;Pattensen
Volksbank;Volksbank/Raiffeisenbank;;Volksbank Adelebsen;26061556;GENODEF1ADE;37139;Adelebsen
Volksbank;Volksbank/Raiffeisenbank;;Volksbank;27092555;GENODEF1WFV;38300;Wolfenbüttel
Volksbank;Volksbank/Raiffeisenbank;;Volksbank Seesen;27893760;GENODEF1SES;38723;Seesen
Volksbank;Volksbank/Raiffeisenbank;;Volksbank;28066620;GENODEF1FOY;26169;Friesoythe
Volksbank;Volksbank/Raiffeisenbank;;Volksbank;29162394;GENODEF1OHZ;27704;Osterholz-Scharmbeck
Volksbank;Volksbank/Raiffeisenbank;;Volksbank Worpswede;29166568;GENODEF1WOP;27726;Worpswede
Volksbank;Volksbank/Raiffeisenbank;;Volksbank Lindenberg;73369826;GENODEF1LIA;88151;Lindenberg i. Allgäu
Volksbank;Volksbank/Raiffeisenbank;;Volksbank Sangerhausen;80063558;GENODEF1SGH;06526;Sangerhausen
Volksbank;Volksbank/Raiffeisenbank;;Volksbank Köthen;80063628;GENODEF1KOE;06351;Köthen (Anhalt)
Volksbank;Volksbank/Raiffeisenbank;;Volksbank Gardelegen;81093034;GENODEF1GA1;39638;Gardelegen
Volksbank  Emstek Essen Cappeln;Volksbank/Raiffeisenbank;;VB  Emstek Essen Cappeln;28063526;GENODEF1ESO;49692;Cappeln (Oldenburg)
Volksbank - Die Gestalterbank;Volksbank/Raiffeisenbank;;Volksbank - Gestalterbank;66490000;GENODE61OG1;77652;Offenburg
Volksbank Aachen Süd;Volksbank/Raiffeisenbank;;Volksbank Aachen Süd;39161490;GENODED1AAS;52037;Aachen
Volksbank Ahlerstedt;Volksbank/Raiffeisenbank;;Volksbank Ahlerstedt;20069780;GENODEF1AST;21702;Ahlerstedt
Volksbank Alb;Volksbank/Raiffeisenbank;;Volksbank Alb;63091300;GENODES1LAI;89129;Langenau
Volksbank Aller-Oker;Volksbank/Raiffeisenbank;;Volksbank Aller-Oker;25069270;GENODEF1MUA;38539;Müden (Aller)
Volksbank Allgäu-Oberschwaben;Volksbank/Raiffeisenbank;;Voba Allgäu-Oberschwaben;65091040;GENODES1LEU;88299;Leutkirch im Allgäu
Volksbank Alzey-Worms;Volksbank/Raiffeisenbank;;Volksbank Alzey-Worms;55091200;GENODE61AZY;67547;Worms
Volksbank Anröchte;Volksbank/Raiffeisenbank;;Volksbank Anröchte;41661206;GENODEM1ANR;59604;Anröchte
Volksbank Ascheberg-Herbern;Volksbank/Raiffeisenbank;;Volksbank Ascheberg-Herbern;40069601;GENODEM1CAN;59381;Ascheberg
Volksbank BRAWO;Volksbank/Raiffeisenbank;;Volksbank BRAWO;26991066;GENODEF1WOB;38440;Wolfsburg
Volksbank Backnang;Volksbank/Raiffeisenbank;;Volksbank Backnang;60291120;GENODES1VBK;71522;Backnang
Volksbank Bad Laer-Borgloh-Hilter-Melle;Volksbank/Raiffeisenbank;;VB Laer-Borgl-Hilter-Melle;26562490;GENODEF1HTR;49176;Hilter am Teutoburger Wald
Volksbank Bad Salzuflen;Volksbank/Raiffeisenbank;;Volksbank Bad Salzuflen;48291490;GENODEM1BSU;32108;Bad Salzuflen
Volksbank Baumberge;Volksbank/Raiffeisenbank;;Volksbank Baumberge;40069408;GENODEM1BAU;48727;Billerbeck
Volksbank Beilstein-Ilsfeld-Abstatt;Volksbank/Raiffeisenbank;;VB Beilstein-Ilsfeld-Abstat;62062215;GENODES1BIA;71717;Beilstein
Volksbank Berg;Volksbank/Raiffeisenbank;;Volksbank Berg;37069125;GENODED1RKO;51679;Wipperfürth
Volksbank Bocholt;Volksbank/Raiffeisenbank;;Volksbank Bocholt;42860003;GENODEM1BOH;46395;Bocholt
Volksbank Bochum Witten;Volksbank/Raiffeisenbank;;Volksbank Bochum Witten;43060129;GENODEM1BOC;44728;Bochum
Volksbank Bodensee-Oberschwaben;Volksbank/Raiffeisenbank;;Volksbank Bodensee-Oberschw;65191500;GENODES1TET;88069;Tettnang
Volksbank Brandoberndorf;Volksbank/Raiffeisenbank;;Volksbank Brandoberndorf;51591300;GENODE51WBO;35647;Waldsolms
Volksbank Braunlage;Volksbank/Raiffeisenbank;;Volksbank Braunlage;27893359;GENODEF1BLG;38700;Braunlage
Volksbank Breisgau Nord;Volksbank/Raiffeisenbank;;VB Breisgau Nord;68092000;GENODE61EMM;79312;Emmendingen
Volksbank Breisgau-Markgräflerland;Volksbank/Raiffeisenbank;;VB Breisgau-Markgräflerland;68061505;GENODE61IHR;79427;Eschbach
Volksbank Bremen-Nord;Volksbank/Raiffeisenbank;;Volksbank Bremen-Nord;29190330;GENODEF1HB2;28757;Bremen
Volksbank Brenztal;Volksbank/Raiffeisenbank;;Volksbank Brenztal;60069527;GENODES1RNS;89537;Giengen an der Brenz
Volksbank Brüggen-Nettetal;Volksbank/Raiffeisenbank;;Volksbank Brüggen-Nettetal;31062154;GENODED1KBN;41376;Brüggen
Volksbank Butzbach;Volksbank/Raiffeisenbank;;Volksbank Butzbach;51861403;GENODE51BUT;35510;Butzbach
Volksbank Bönen;Volksbank/Raiffeisenbank;;Volksbank Bönen;41062215;GENODEM1BO1;59194;Bönen
Volksbank Börde-Bernburg;Volksbank/Raiffeisenbank;;Volksbank Börde-Bernburg;81069052;GENODEF1WZL;39164;Wanzleben-Börde
Volksbank Börßum-Hornburg;Volksbank/Raiffeisenbank;;Volksbank Börßum-Hornburg;27062290;GENODEF1BOH;38312;Börßum
Volksbank Bühl;Volksbank/Raiffeisenbank;;Volksbank Bühl;66291400;GENODE61BHL;77808;Bühl
Volksbank Bühl Fil Kehl;Volksbank/Raiffeisenbank;;Volksbank Bühl;66491800;GENODE61BHL;77694;Kehl
Volksbank Chemnitz;Volksbank/Raiffeisenbank;;Volksbank Chemnitz;87096214;GENODEF1CH1;09003;Chemnitz
Volksbank Daaden;Volksbank/Raiffeisenbank;;Volksbank Daaden;57391200;GENODE51DAA;57567;Daaden
Volksbank Dammer Berge;Volksbank/Raiffeisenbank;;Volksbank Dammer Berge;28061679;GENODEF1DAM;49396;Damme
Volksbank Darmstadt Mainz;Volksbank/Raiffeisenbank;;VB Darmstadt Mainz;55190000;MVBMDE55XXX;55116;Mainz
Volksbank Deisslingen;Volksbank/Raiffeisenbank;;Volksbank Deisslingen;64291420;GENODES1VDL;78652;Deißlingen
Volksbank Delbrück-Rietberg;Volksbank/Raiffeisenbank;;Volksbank Delbrück-Rietberg;47862447;GENODEM1RNE;33129;Delbrück
Volksbank Delitzsch;Volksbank/Raiffeisenbank;;Volksbank Delitzsch;86095554;GENODEF1DZ1;04509;Delitzsch
Volksbank Demmin;Volksbank/Raiffeisenbank;;Volksbank Demmin;15091674;GENODEF1DM1;17109;Demmin, Hansestadt
Volksbank Dessau-Anhalt;Volksbank/Raiffeisenbank;;Volksbank Dessau-Anhalt;80093574;GENODEF1DS1;06811;Dessau-Roßlau
Volksbank Dettenhausen;Volksbank/Raiffeisenbank;;VB Dettenhausen;60069378;GENODES1DEH;72135;Dettenhausen
Volksbank Dinslaken;Volksbank/Raiffeisenbank;;Volksbank Dinslaken;35261248;GENODED1DLK;46525;Dinslaken
Volksbank Dreiländereck;Volksbank/Raiffeisenbank;;VB Dreiländereck Lörrach;68390000;VOLODE66XXX;79537;Lörrach
Volksbank Dresden-Bautzen;Volksbank/Raiffeisenbank;;VB Dresden-Bautzen;85090000;GENODEF1DRS;01097;Dresden
Volksbank Dünnwald-Holweide;Volksbank/Raiffeisenbank;;Volksbank Dünnwald-Holweide;37069427;GENODED1DHK;51069;Köln
Volksbank Düsseldorf Neuss;Volksbank/Raiffeisenbank;;VB Düsseldorf Neuss;30160213;GENODED1DNE;40012;Düsseldorf
Volksbank Düte-Ems;Volksbank/Raiffeisenbank;;VB Düte-Ems;26565928;GENODEF1HGM;49124;Georgsmarienhütte
Volksbank Eisenberg;Volksbank/Raiffeisenbank;;Volksbank Eisenberg;83094494;GENODEF1ESN;07607;Eisenberg
Volksbank Elsen-Wewer-Borchen;Volksbank/Raiffeisenbank;;VB Elsen-Wewer-Borchen;47260234;GENODEM1EWB;33075;Paderborn
Volksbank Emmerich-Rees;Volksbank/Raiffeisenbank;;Volksbank Emmerich-Rees;35860245;GENODED1EMR;46427;Emmerich am Rhein
Volksbank Emstal;Volksbank/Raiffeisenbank;;Volksbank Emstal;28069991;GENODEF1LTH;49759;Lathen
Volksbank Enniger-Ostenfelde-Westkirchen;Volksbank/Raiffeisenbank;;VB Enniger-Ostenfelde-Westk;41261324;GENODEM1EOW;59320;Ennigerloh
Volksbank Erft;Volksbank/Raiffeisenbank;;Volksbank Erft Elsdorf;37069252;GENODED1ERE;50183;Elsdorf
Volksbank Ermstal-Alb;Volksbank/Raiffeisenbank;;Volksbank Ermstal-Alb;64091200;GENODES1MTZ;72555;Metzingen
Volksbank Ettlingen;Volksbank/Raiffeisenbank;;Volksbank Ettlingen;66091200;GENODE61ETT;76263;Ettlingen
Volksbank Euskirchen;Volksbank/Raiffeisenbank;;Volksbank Euskirchen;38260082;GENODED1EVB;53879;Euskirchen
Volksbank Eutin Raiffeisenbank;Volksbank/Raiffeisenbank;;Volksbank Eutin;21392218;GENODEF1EUT;23693;Eutin
Volksbank Filder;Volksbank/Raiffeisenbank;;VB Filder;61161696;GENODES1NHB;73761;Neuhausen auf den Fildern
Volksbank Flein-Talheim;Volksbank/Raiffeisenbank;;Volksbank Flein-Talheim;62062643;GENODES1VFT;74223;Flein
Volksbank Franken;Volksbank/Raiffeisenbank;;Volksbank Franken Buchen;67461424;GENODE61BUC;74713;Buchen (Odenwald)
Volksbank Fredenbeck;Volksbank/Raiffeisenbank;;Volksbank Fredenbeck;20069812;GENODEF1FRB;21717;Fredenbeck
Volksbank Freiburg;Volksbank/Raiffeisenbank;;Volksbank Freiburg;68090000;GENODE61FR1;79005;Freiburg im Breisgau
Volksbank Gebhardshain;Volksbank/Raiffeisenbank;;Volksbank Gebhardshain;57361476;GENODED1GBS;57580;Gebhardshain
Volksbank Geest;Volksbank/Raiffeisenbank;;Volksbank Geest;20069782;GENODEF1APE;21641;Apensen
Volksbank Geeste-Nord;Volksbank/Raiffeisenbank;;Volksbank Geeste-Nord;29262722;GENODEF1BRV;27607;Geestland
Volksbank Gera-Jena-Rudolstadt;Volksbank/Raiffeisenbank;;VB Gera-Jena-Rudolstadt;83094454;GENODEF1RUJ;07743;Jena
Volksbank Gersprenztal-Otzberg;Volksbank/Raiffeisenbank;;VB Gersprenztal-Otzberg;50862703;GENODE51REI;64354;Reinheim
Volksbank Gescher;Volksbank/Raiffeisenbank;;Volksbank Gescher;40164901;GENODEM1GE1;48712;Gescher
Volksbank Glan-Münchweiler;Volksbank/Raiffeisenbank;;Volksbank Glan-Münchweiler;54092400;GENODE61GLM;66905;Glan-Münchweiler
Volksbank Grebenhain;Volksbank/Raiffeisenbank;;Volksbank Grebenhain;50069146;GENODE51GRC;36352;Grebenhain
Volksbank Grevenbrück -alt;Volksbank/Raiffeisenbank;;Volksbank Grevenbrück -alt-;46261607;GENODEM1GLG;57368;Lennestadt
Volksbank Gronau-Ahaus;Volksbank/Raiffeisenbank;;Volksbank Gronau-Ahaus;40164024;GENODEM1GRN;48599;Gronau (Westf.)
Volksbank Göppingen;Volksbank/Raiffeisenbank;;Volksbank Göppingen;61060500;GENODES1VGP;73013;Göppingen
Volksbank Halle, Saale;Volksbank/Raiffeisenbank;;VB Halle, Saale;80093784;GENODEF1HAL;06016;Halle (Saale)
Volksbank Halle/Westf;Volksbank/Raiffeisenbank;;Volksbank Halle/Westf;48062051;GENODEM1HLW;33790;Halle (Westf.)
Volksbank Hameln-Stadthagen;Volksbank/Raiffeisenbank;;VB Hameln-Stadthagen;25462160;GENODEF1HMP;31763;Hameln
Volksbank Hamm/Sieg;Volksbank/Raiffeisenbank;;VB Hamm/Sieg Hamm (Sieg);57391500;GENODE51HAM;57573;Hamm
Volksbank Haren Fil d Ostfriesischen VB;Volksbank/Raiffeisenbank;;Volksbank Haren;26691213;GENODEF1HAR;49725;Haren (Ems)
Volksbank Haselünne;Volksbank/Raiffeisenbank;;Volksbank Haselünne;26661380;GENODEF1HLN;49734;Haselünne
Volksbank Heidelberg-Neckartal;Volksbank/Raiffeisenbank;;VB Heidelberg-Neckartal;67291700;GENODE61NGD;69115;Heidelberg
Volksbank Heiden;Volksbank/Raiffeisenbank;;Volksbank Heiden;42861608;GENODEM1HEI;46356;Heiden
Volksbank Heimbach;Volksbank/Raiffeisenbank;;Volksbank Heimbach;37069342;GENODED1HMB;52396;Heimbach
Volksbank Heinsberg;Volksbank/Raiffeisenbank;;Volksbank Heinsberg;37069412;GENODED1HRB;52525;Heinsberg
Volksbank Heldenbergen Ndl d Frankfurter VB;Volksbank/Raiffeisenbank;;Volksbank Heldenbergen;50661816;GENODE51NIH;61123;Nidderau
Volksbank Hellweg;Volksbank/Raiffeisenbank;;Volksbank Hellweg;41460116;GENODEM1SOE;59494;Soest
Volksbank Heuchelheim;Volksbank/Raiffeisenbank;;Volksbank Heuchelheim;51361021;GENODE51HHE;35452;Heuchelheim a. d. Lahn
Volksbank Hildesheim;Volksbank/Raiffeisenbank;;Volksbank Hildesheim;25990011;GENODEF1HIH;31113;Hildesheim
Volksbank Hochrhein;Volksbank/Raiffeisenbank;;Volksbank Hochrhein;68492200;GENODE61WT1;79761;Waldshut-Tiengen
Volksbank Hohenlimburg;Volksbank/Raiffeisenbank;;Volksbank Hohenlimburg;45061524;GENODEM1HLH;58119;Hagen
Volksbank Hohenlohe;Volksbank/Raiffeisenbank;;Volksbank Hohenlohe;62091800;GENODES1VHL;74613;Öhringen
Volksbank Immenstadt;Volksbank/Raiffeisenbank;;Volksbank Immenstadt;73392000;GENODEF1IMV;87509;Immenstadt i. Allgäu
Volksbank Jade-Weser;Volksbank/Raiffeisenbank;;Volksbank Jade-Weser;28262673;GENODEF1VAR;26316;Varel
Volksbank Jerichower Land;Volksbank/Raiffeisenbank;;VB Jerichower Land;81063238;GENODEF1BRG;39288;Burg
Volksbank Kaiserslautern;Volksbank/Raiffeisenbank;;Voba Kaiserslautern;54090000;GENODE61KL1;67655;Kaiserslautern
Volksbank Kassel Göttingen;Volksbank/Raiffeisenbank;;VB Kassel Göttingen;52090000;GENODE51KS1;34117;Kassel
Volksbank Kehdingen Zndl. der Ostfriesischen Volksbank;Volksbank/Raiffeisenbank;;VB Kehdingen;20069786;GENODEF1DRO;21703;Drochtersen
Volksbank Kelsterbach Ndl d Frankfurter VB;Volksbank/Raiffeisenbank;;Volksbank Kelsterbach;50093400;GENODE51KBH;65444;Kelsterbach
Volksbank Kempen-Grefrath;Volksbank/Raiffeisenbank;;Volksbank Kempen-Grefrath;32061414;GENODED1KMP;47885;Kempen
Volksbank Kierspe;Volksbank/Raiffeisenbank;;Volksbank Kierspe;45861434;GENODEM1KIE;58566;Kierspe
Volksbank Kirnau-Krautheim;Volksbank/Raiffeisenbank;;Volksbank Kirnau-Krautheim;67461733;GENODE61RNG;74749;Rosenberg
Volksbank Klettgau-Wutöschingen;Volksbank/Raiffeisenbank;;VB Klettgau-Wutöschingen;68462427;GENODE61WUT;79793;Wutöschingen
Volksbank Kleverland;Volksbank/Raiffeisenbank;;Volksbank Kleverland;32460422;GENODED1KLL;47533;Kleve
Volksbank Kraichgau;Volksbank/Raiffeisenbank;;Volksbank Kraichgau;67292200;GENODE61WIE;69157;Wiesloch
Volksbank Krefeld;Volksbank/Raiffeisenbank;;Volksbank Krefeld;32060362;GENODED1HTK;47832;Krefeld
Volksbank Kurpfalz;Volksbank/Raiffeisenbank;;Volksbank Kurpfalz;67092300;GENODE61WNM;69018;Heidelberg
Volksbank Köln Bonn;Volksbank/Raiffeisenbank;;Volksbank Köln Bonn;38060186;GENODED1BRS;53252;Bonn
Volksbank Lahr;Volksbank/Raiffeisenbank;;Volksbank Lahr;68290000;GENODE61LAH;77912;Lahr
Volksbank Langendernbach;Volksbank/Raiffeisenbank;;Volksbank Langendernbach;51161606;GENODE51LDD;65599;Dornburg
Volksbank Lastrup;Volksbank/Raiffeisenbank;;Volksbank Lastrup;28067257;GENODEF1LAP;49688;Lastrup
Volksbank Lauterecken;Volksbank/Raiffeisenbank;;Volksbank Lauterecken;54091700;GENODE61LEK;67742;Lauterecken
Volksbank Leonberg-Strohgäu;Volksbank/Raiffeisenbank;;Volksbank Leonberg-Strohgäu;60390300;GENODES1LEO;71226;Leonberg
Volksbank Lette-Darup-Rorup;Volksbank/Raiffeisenbank;;Volksbank Lette-Darup-Rorup;40069226;GENODEM1CND;48645;Coesfeld
Volksbank Limbach;Volksbank/Raiffeisenbank;;Volksbank Limbach;67462368;GENODE61LMB;74838;Limbach
Volksbank Lohne-Dinklage-Steinfeld-Mühlen;Volksbank/Raiffeisenbank;;VB Lohne-Dinkl-Steinf-Mühl;28062560;GENODEF1LON;49379;Lohne (Oldenburg)
Volksbank Löbau-Zittau;Volksbank/Raiffeisenbank;;VB Löbau-Zittau;85590100;GENODEF1NGS;02727;Ebersbach-Neugersdorf
Volksbank Löningen;Volksbank/Raiffeisenbank;;Volksbank Löningen;28065061;GENODEF1LOG;49619;Löningen
Volksbank Lübeck;Volksbank/Raiffeisenbank;;Volksbank Lübeck;23090142;GENODEF1HLU;23552;Lübeck
Volksbank Lüneburger Heide;Volksbank/Raiffeisenbank;;VB Lüneburger Heide;24060300;GENODEF1NBU;21412;Winsen (Luhe)
Volksbank Magdeburg;Volksbank/Raiffeisenbank;;VB Magdeburg;81093274;GENODEF1MD1;39104;Magdeburg
Volksbank Mainspitze;Volksbank/Raiffeisenbank;;Volksbank Mainspitze;50862903;GENODE51GIN;65462;Ginsheim-Gustavsburg
Volksbank Marl-Recklinghausen;Volksbank/Raiffeisenbank;;VB Marl-Recklinghausen;42661008;GENODEM1MRL;45752;Marl
Volksbank Mittelhessen;Volksbank/Raiffeisenbank;;VB Mittelhessen;51390000;VBMHDE5FXXX;35340;Gießen
Volksbank Mittlerer Neckar;Volksbank/Raiffeisenbank;;Volksbank Mittlerer Neckar;61290120;GENODES1NUE;73728;Esslingen am Neckar
Volksbank Mittlerer Schwarzwald;Volksbank/Raiffeisenbank;;VB Mittlerer Schwarzwald;66492700;GENODE61KZT;77706;Wolfach
Volksbank Mittleres Erzgebirge;Volksbank/Raiffeisenbank;;VB Mittl Erzgebirge;87069075;GENODEF1MBG;09526;Olbernhau
Volksbank Mittweida;Volksbank/Raiffeisenbank;;Volksbank Mittweida;87096124;GENODEF1MIW;09648;Mittweida
Volksbank Möckmühl;Volksbank/Raiffeisenbank;;Volksbank Möckmühl;62091600;GENODES1VMN;74219;Möckmühl
Volksbank Mönchengladbach;Volksbank/Raiffeisenbank;;VB Mönchengladbach;31060517;GENODED1MRB;41241;Mönchengladbach
Volksbank Münsingen;Volksbank/Raiffeisenbank;;Volksbank Münsingen;64091300;GENODES1MUN;72525;Münsingen
Volksbank Niedergrafschaft;Volksbank/Raiffeisenbank;;VB Niedergrafschaft;28069926;GENODEF1HOO;49843;Uelsen
Volksbank Niederrhein;Volksbank/Raiffeisenbank;;Volksbank Niederrhein;35461106;GENODED1NRH;46515;Alpen
Volksbank Niedersachsen-Mitte;Volksbank/Raiffeisenbank;;VB Niedersachsen-Mitte;25691633;GENODEF1SUL;27318;Hoya
Volksbank Nordharz;Volksbank/Raiffeisenbank;;Volksbank Nordharz;26890019;GENODEF1VNH;38640;Goslar
Volksbank Nordhümmling;Volksbank/Raiffeisenbank;;Volksbank Nordhümmling;28069706;GENODEF1BOG;26904;Börger
Volksbank Nordschwarzwald;Volksbank/Raiffeisenbank;;VB Nordschwarzwald;64291010;GENODES1FDS;72250;Freudenstadt
Volksbank Nottuln;Volksbank/Raiffeisenbank;;Volksbank Nottuln;40164352;GENODEM1CNO;48301;Nottuln
Volksbank Ober-Mörlen;Volksbank/Raiffeisenbank;;Volksbank Ober-Mörlen;51861806;GENODE51OBM;61239;Ober-Mörlen
Volksbank Oberberg;Volksbank/Raiffeisenbank;;Volksbank Oberberg;38462135;GENODED1WIL;51674;Wiehl
Volksbank Ochtrup-Laer;Volksbank/Raiffeisenbank;;Volksbank Ochtrup-Laer;40164618;GENODEM1OTR;48602;Ochtrup
Volksbank Oldenburg-Land Delmenhorst;Volksbank/Raiffeisenbank;;VB Oldenb.-Land Delmenhorst;28066214;GENODEF1WDH;27793;Wildeshausen
Volksbank Olpe-Wenden-Drolshagen;Volksbank/Raiffeisenbank;;VB Olpe-Wenden-Drolshagen;46261822;GENODEM1WDD;57450;Olpe
Volksbank Ostlippe;Volksbank/Raiffeisenbank;;Volksbank Ostlippe;47691200;GENODEM1OLB;32820;Blomberg
Volksbank Oyten;Volksbank/Raiffeisenbank;;Volksbank Oyten;29165545;GENODEF1OYT;28871;Oyten
Volksbank PLUS;Volksbank/Raiffeisenbank;;Volksbank PLUS;49092650;GENODEM1LUB;32312;Lübbecke
Volksbank Papenburg Fil d. Ostfries. VB Leer;Volksbank/Raiffeisenbank;;Volksbank Papenburg;28591579;GENODEF1PAP;26858;Papenburg
Volksbank Pfullendorf;Volksbank/Raiffeisenbank;;Volksbank Pfullendorf;69091600;GENODE61PFD;88619;Pfullendorf
Volksbank Pirna;Volksbank/Raiffeisenbank;;VB Pirna;85060000;GENODEF1PR2;01796;Pirna
Volksbank Plochingen;Volksbank/Raiffeisenbank;;Volksbank Plochingen;61191310;GENODES1VBP;73203;Plochingen
Volksbank Raesfeld und Erle;Volksbank/Raiffeisenbank;;Volksbank Raesfeld und Erle;42862451;GENODEM1RAE;46348;Raesfeld
Volksbank Raiffeisenbank;Volksbank/Raiffeisenbank;;Volksbank Raiffeisenbank;20190109;GENODEF1HH4;25524;Itzehoe
Volksbank Raiffeisenbank AmmerGäu;Volksbank/Raiffeisenbank;;VR Bank AmmerGäu;64161397;GENODES1AMM;72108;Rottenburg am Neckar
Volksbank Raiffeisenbank Bayern Mitte;Volksbank/Raiffeisenbank;;VR Bank Bayern Mitte;72160818;GENODEF1INP;85023;Ingolstadt
Volksbank Raiffeisenbank Dachau;Volksbank/Raiffeisenbank;;VB Raiffbk Dachau;70091500;GENODEF1DCA;85209;Dachau
Volksbank Raiffeisenbank Fürstenfeldbruck;Volksbank/Raiffeisenbank;;VR-Bank Fürstenfeldbruck;70163370;GENODEF1FFB;82256;Fürstenfeldbruck
Volksbank Raiffeisenbank Hanau Ndl d Frankf VB;Volksbank/Raiffeisenbank;;Frankfurter Volksbank;50690000;GENODEF1HUV;63412;Hanau
Volksbank Raiffeisenbank Meißen Großenhain;Volksbank/Raiffeisenbank;;VB Raiffbk Meißen Großenh;85095004;GENODEF1MEI;01652;Meißen
Volksbank Raiffeisenbank Niederschlesien;Volksbank/Raiffeisenbank;;VB Raiffbk Niederschlesien;85591000;GENODEF1GR1;02810;Görlitz
Volksbank Raiffeisenbank Nordoberpfalz;Volksbank/Raiffeisenbank;;VR Nordoberpfalz;75390000;GENODEF1WEV;92637;Weiden i.d.OPf.
Volksbank Raiffeisenbank Oberbayern Südost;Volksbank/Raiffeisenbank;;VB RB Oberbayern Südost;71090000;GENODEF1BGL;83435;Bad Reichenhall
Volksbank Raiffeisenbank Obermain;Volksbank/Raiffeisenbank;;VR Obermain;77062139;GENODEF1SFF;96226;Bad Staffelstein
Volksbank Raiffeisenbank Regensburg-Schwandorf;Volksbank/Raiffeisenbank;;VB RB Regensburg-Schwandorf;75090000;GENODEF1R01;93047;Regensburg
Volksbank Raiffeisenbank Würzburg;Volksbank/Raiffeisenbank;;VR-Bank Würzburg;79090000;GENODEF1WU1;97070;Würzburg
Volksbank Rathenow;Volksbank/Raiffeisenbank;;Volksbank Rathenow;16091994;GENODEF1RN1;14712;Rathenow
Volksbank Remseck;Volksbank/Raiffeisenbank;;Volksbank Remseck;60069905;GENODES1REM;71680;Remseck am Neckar
Volksbank Rhede;Volksbank/Raiffeisenbank;;Volksbank Rhede;42861814;GENODEM1RHD;46407;Rhede
Volksbank Rhein-Erft-Köln;Volksbank/Raiffeisenbank;;VB Rhein-Erft-Köln;37062365;GENODED1FHH;50354;Hürth
Volksbank Rhein-Lahn-Limburg;Volksbank/Raiffeisenbank;;VB Rhein-Lahn-Limburg;57092800;GENODE51DIE;65582;Diez
Volksbank Rhein-Lippe;Volksbank/Raiffeisenbank;;Volksbank Rhein-Lippe;35660599;GENODED1RLW;46465;Wesel
Volksbank Rhein-Nahe-Hunsrück;Volksbank/Raiffeisenbank;;VB Rhein-Nahe-Hunsrück;56090000;GENODE51KRE;55543;Bad Kreuznach
Volksbank Rhein-Ruhr;Volksbank/Raiffeisenbank;;VB Rhein-Ruhr Duisburg;35060386;GENODED1VRR;47013;Duisburg
Volksbank Rheinböllen;Volksbank/Raiffeisenbank;;Volksbank Rheinböllen;56062227;GENODED1RBO;55492;Rheinböllen
Volksbank Riesa;Volksbank/Raiffeisenbank;;Volksbank Riesa;85094984;GENODEF1RIE;01587;Riesa
Volksbank Rot;Volksbank/Raiffeisenbank;;Volksbank Rot St Leon-Rot;67262550;GENODE61LRO;68789;St. Leon-Rot
Volksbank Rottweil;Volksbank/Raiffeisenbank;;Volksbank Rottweil;64290120;GENODES1VRW;78618;Rottweil
Volksbank Ruhr Mitte;Volksbank/Raiffeisenbank;;VB Ruhr Mitte Gelsenkirchen;42260001;GENODEM1GBU;45877;Gelsenkirchen
Volksbank Sandhofen;Volksbank/Raiffeisenbank;;Volksbank Ma-Sandhofen;67060031;GENODE61MA3;68273;Mannheim
Volksbank Sauerland;Volksbank/Raiffeisenbank;;Volksbank Sauerland;46062817;GENODEM1SMA;57392;Schmallenberg
Volksbank Schermbeck;Volksbank/Raiffeisenbank;;Volksbank Schermbeck;40069363;GENODEM1SMB;46510;Schermbeck
Volksbank Schlangen;Volksbank/Raiffeisenbank;;Volksbank Schlangen;40069283;GENODEM1SLN;33185;Schlangen
Volksbank Schwalmtal;Volksbank/Raiffeisenbank;;Volksbank Schwalmtal;31062553;GENODED1NKR;41372;Niederkrüchten
Volksbank Schwanewede;Volksbank/Raiffeisenbank;;Volksbank Schwanewede;29162453;GENODEF1SWW;28784;Schwanewede
Volksbank Schwarzwald-Donau-Neckar;Volksbank/Raiffeisenbank;;VB Schwarzwald-Donau-Neckar;64390130;GENODES1TUT;78513;Tuttlingen
Volksbank Seligenstadt;Volksbank/Raiffeisenbank;;Volksbank Seligenstadt;50692100;GENODE51SEL;63490;Seligenstadt
Volksbank Selm-Bork;Volksbank/Raiffeisenbank;;Volksbank Selm-Bork;40165366;GENODEM1SEM;59379;Selm
Volksbank Senden;Volksbank/Raiffeisenbank;;Volksbank Senden;40069546;GENODEM1SDN;48308;Senden
Volksbank Solling;Volksbank/Raiffeisenbank;;Volksbank Solling Hardegsen;26261693;GENODEF1HDG;37177;Hardegsen
Volksbank Spree-Neiße;Volksbank/Raiffeisenbank;;Volksbank Spree-Neiße;18092744;GENODEF1SPM;03130;Spremberg
